S. No.,Name of Company,No. Of Offers,CTC
1,ADOBE,1,40
2,DXC,2,4
3,HCL,1,3.5
4,INFOSYS,5,3.6
5,NEWGEN,2,4.25
6,ALGOWORKS,1,3
7,ADINIO SERVICES PVT LTD,1,2.5
8,ADITYA FARRAD PRODUCTION,1,4.5
9,AMAZON,2,30
10,AMAZON,4,19
11,APPCPL,1,2.6
12,"ARUNACHAL PRADESH POWER CORPORATION
PVT. LTD",1,2.8
13,ATKINS,1,5.2
14,BIRLASOFT,30,3.25
15,BYJUS,13,8
16,CAPGEMINI,5,3.8
17,CERTYBOX,6,5
18,CHEEG INDIA,13,3.5
19,CLOUD ANALOGY,1,3.5
20,COGNIZANT,44,4
21,CONTATA,3,6
22,CONTATA,2,4
23,CRATERZONE PVT LTD,2,4
24,DAFFODIL,1,3.5
25,DEEP LOGIC TECH INDIA PVT LTD,7,3.5
26,DELTON CABLES,2,2.5
27,EINA ENGINEERING COMPANY,1,8.2
28,EXTRA MARKS,9,12.4
29,EXTRAMARK,7,8
30,GEEK FOR GEEKS,6,5.5
31,GEMINI SOLUTIONS,5,4
32,GLOBALLOGIC,9,4.8
33,GRADEUP,5,6.5
34,HASHEDIN,2,4
35,IBM,3,3.5
36,IGNITORS HUB,2,2.5
37,INFOEDGE,2,4.5
38,INFOGAIN,13,4.2
39,INFOSYS,61,3.6
40,INNOBIT TECHNOLOGIES,1,4.5
41,ISGEC,9,5.5
42,JARO EDUCATION,2,8
43,JARO EDUCATION,2,7
44,JK TECHNOSOFT,1,3.56
45,KRONOS,4,15.35
46,LIBSYS,2,5
47,MANN INDIA TECHNOLOGIES PVT. LTD.,5,3.5
48,MAYUR TECHNOSOFT PVT LTD,2,2.5
49,MOTHERSON SUMI,2,3.8
50,"MOTHERSONSUMI INFOTECH & DESIGNS
LIMITED",6,3.5
51,MTREE SOFTWARE,4,6
52,NAGARRO,1,3.6
53,NEWGEN,25,4.25
54,NIIT TECHNOLOGIES GREATER NOIDA,24,3.5
55,NSMATRIX,1,2.5
56,NTT DATA,3,3.2
57,ONE BCG,2,5
58,PAYTM BANK,1,5
59,PLANETCAST MEDIA SERVICES LIMITED,1,3.5
60,PLANETSPARK,3,5
61,PNUT FIT PVT LTD,1,4
62,PUBLICIS SAPIENT,1,5
63,QA INFOTECH,5,3.5
64,RMGX TECHNOLOGIES LLP,1,3.6
65,RTDS,2,6
66,SAMSUNG,5,5
67,SAMSUNG HEAVY INDUSTRIES INDIA PVT. LTD.,4,6
68,SNAPDEAL,3,4
69,SQUAREYARDS,5,3.5
70,SVAM,5,3.5
71,TA DIGITAL,2,4
72,TCS,127,3.5
73,TECH MAHINDRA,2,3.5
74,TECHNIP- FMC,5,6
75,THANKSFOR THE HELP,1,2.5
76,TIMEX,4,2.5
77,TO THE NEW,3,4.5
78,TORRENT POWER,1,4
79,WEBKUL,1,4
80,WIPRO,35,3
81,WISTELI INFORMATICS,2,4
82,ZIA SEMICONDUCTORS,8,7
